FIELD,DESCRIPTION,DATA
ID_DN,ID tự tạo về doanh nghiệp,"Có dạng ""ACT/TER"" + 4 chữ số với ACT để chỉ công ty còn đang hoạt động, TER là công ty đã phá sản"
CITY,"Tỉnh, thành phố ở địa chỉ trong Giấy đăng ký kinh doanh",Đang được encode theo giá trị PCI (chỉ số năng lực cạnh tranh cấp tỉnh) của mỗi thành phố
ENT_TYPE,Loại hình doanh nghiệp,"SC: Công ty cổ phần
LLC1 : Công ty TNHH một thành viên
LLC2 : Công ty TNHH hai thành viên trở lên"
AGE,Thời gian hoạt động của doanh nghiệp tính đến hết 31/12/2019,Đang được tính bằng số ngày hoạt động chia cho 365
LEGAL_GENDER,Giới tính của người đại diện pháp luật,"Female: Nữ
Male: Nam"
CAPITAL_AMOUNT,Vốn điều lệ của công ty,
TOTAL_OF_LABORS,Tổng nhân viên của công ty ,
MA_NGANH,Mã ngành theo Hệ thống ngành nghề kinh tế Việt Nam VSIC 2018 - VSIC 2007 lấy đến cấp 2,
TienTT_2015,Tiền và các khoản tương đương tiền năm 2015,
ThuNH_2015,Các khoản phải thu (ngắn hạn) năm 2015,
HangTon_2015,Hàng tồn kho năm 2015,
TSCoDinh_2015,Tài sản cố định năm 2015,
NoNgan_2015,Nợ ngắn hạn năm 2015,
NoDai_2015,Nợ dài hạn năm 2015,
VonCSH_2015,Vốn chủ sở hữu năm 2015,
DTThuan_2015,Doanh thu thuần về bán hàng và cung cấp dịch vụ năm 2015,
GiaVon_2015,Giá vốn hàng bán năm 2015,
DThuTC_2015,Doanh thu hoạt động tài chính năm 2015,
LNThuan_2015,Lợi nhuận thuần từ hoạt động kinh doanh năm 2015,
TongLN_2015,Tổng lợi nhuận kế toán trước thuế năm 2015,
LNsauthue_2015,Lợi nhuận sau thuế thu nhập doanh nghiệp năm 2015,
TienTT_2016,Tiền và các khoản tương đương tiền năm 2016,
ThuNH_2016,Các khoản phải thu (ngắn hạn) năm 2016,
HangTon_2016,Hàng tồn kho năm 2016,
TSCoDinh_2016,Tài sản cố định năm 2016,
NoNgan_2016,Nợ ngắn hạn năm 2016,
NoDai_2016,Nợ dài hạn năm 2016,
VonCSH_2016,Vốn chủ sở hữu năm 2016,
DTThuan_2016,Doanh thu thuần về bán hàng và cung cấp dịch vụ năm 2016,
GiaVon_2016,Giá vốn hàng bán năm 2016,
DThuTC_2016,Doanh thu hoạt động tài chính năm 2016,
LNThuan_2016,Lợi nhuận thuần từ hoạt động kinh doanh năm 2016,
TongLN_2016,Tổng lợi nhuận kế toán trước thuế năm 2016,
LNsauthue_2016,Lợi nhuận sau thuế thu nhập doanh nghiệp năm 2016,
TienTT_2017,Tiền và các khoản tương đương tiền năm 2017,
ThuNH_2017,Các khoản phải thu (ngắn hạn) năm 2017,
HangTon_2017,Hàng tồn kho năm 2017,
TSCoDinh_2017,Tài sản cố định năm 2017,
NoNgan_2017,Nợ ngắn hạn năm 2017,
NoDai_2017,Nợ dài hạn năm 2017,
VonCSH_2017,Vốn chủ sở hữu năm 2017,
DTThuan_2017,Doanh thu thuần về bán hàng và cung cấp dịch vụ năm 2017,
GiaVon_2017,Giá vốn hàng bán năm 2017,
DThuTC_2017,Doanh thu hoạt động tài chính năm 2017,
LNThuan_2017,Lợi nhuận thuần từ hoạt động kinh doanh năm 2017,
TongLN_2017,Tổng lợi nhuận kế toán trước thuế năm 2017,
LNsauthue_2017,Lợi nhuận sau thuế thu nhập doanh nghiệp năm 2017,
TienTT_2018,Tiền và các khoản tương đương tiền năm 2018,
ThuNH_2018,Các khoản phải thu (ngắn hạn) năm 2018,
HangTon_2018,Hàng tồn kho năm 2018,
TSCoDinh_2018,Tài sản cố định năm 2018,
NoNgan_2018,Nợ ngắn hạn năm 2018,
NoDai_2018,Nợ dài hạn năm 2018,
VonCSH_2018,Vốn chủ sở hữu năm 2018,
DTThuan_2018,Doanh thu thuần về bán hàng và cung cấp dịch vụ năm 2018,
GiaVon_2018,Giá vốn hàng bán năm 2018,
DThuTC_2018,Doanh thu hoạt động tài chính năm 2018,
LNThuan_2018,Lợi nhuận thuần từ hoạt động kinh doanh năm 2018,
TongLN_2018,Tổng lợi nhuận kế toán trước thuế năm 2018,
LNsauthue_2018,Lợi nhuận sau thuế thu nhập doanh nghiệp năm 2018,
Status,Tình trạng hoạt động,"ACT: Đang hoạt động
TER: Đã phá sản"
